experiment,label,SPI,PFSI,TFSI,PPR,PPD
1.0,normal,0.1994,37.0,113.0,1.0,0.0
1.0,compromised,0.5658,118.33,162.33,1.0,0.0
2.0,normal,0.123,26.0,113.0,1.0,0.0
2.0,compromised,0.7896,24.0,133.0,1.01,0.01
3.0,normal,0.1636,65.0,118.0,1.0,0.0
3.0,compromised,0.1565,25.0,118.0,1.0,0.0
4.0,normal,0.0859,44.0,152.0,1.0,0.0
4.0,compromised,0.1877,19.0,123.0,1.0,0.0
5.0,normal,0.0949,17.0,100.0,1.0,0.0
5.0,compromised,0.1788,71.5,106.5,1.0,0.0
6.0,normal,0.1803,69.0,122.0,1.0,0.0
6.0,compromised,0.6034,68.0,160.0,1.05,0.05
7.0,normal,0.2053,75.0,103.0,1.0,0.0
7.0,compromised,0.5859,66.5,106.5,1.03,0.03
8.0,normal,0.1452,12.0,112.0,1.0,0.0
8.0,compromised,0.1802,54.5,115.5,0.99,0.0
9.0,normal,0.2857,51.0,104.0,1.0,0.0
9.0,compromised,0.3985,60.5,100.5,0.99,0.0
10.0,normal,0.1467,98.0,93.0,1.0,0.0
10.0,compromised,0.1588,33.5,112.5,1.0,0.0
11.0,normal,0.1213,92.0,146.0,1.0,0.0
11.0,compromised,0.1542,2.0,94.0,1.01,0.01
12.0,normal,0.0939,87.0,158.0,1.0,0.0
12.0,compromised,0.3279,46.0,248.0,1.0,0.0
13.0,normal,0.2045,59.0,137.0,1.0,0.0
13.0,compromised,0.5268,58.0,113.0,1.01,0.01
14.0,normal,0.1059,8.0,134.0,1.0,0.0
14.0,compromised,0.3135,64.5,153.5,1.0,0.0
15.0,normal,0.1326,32.0,101.0,1.0,0.0
15.0,compromised,0.4694,14.5,96.5,1.02,0.02
16.0,normal,0.1804,83.0,111.0,1.0,0.0
16.0,compromised,0.3698,81.0,131.0,1.03,0.03
17.0,normal,0.228,5.0,101.0,1.0,0.0
17.0,compromised,0.9968,35.5,113.5,1.0,0.0
18.0,normal,0.0969,69.0,113.0,1.0,0.0
18.0,compromised,0.2941,20.0,124.0,1.04,0.04
19.0,normal,0.0984,50.0,123.0,1.0,0.0
19.0,compromised,0.2529,152.5,219.5,1.02,0.02
20.0,normal,0.1473,27.0,101.0,1.0,0.0
20.0,compromised,1.0151,53.0,195.0,1.04,0.04
21.0,normal,0.1993,23.0,96.0,1.0,0.0
21.0,compromised,0.4194,27.0,124.0,1.01,0.01
22.0,normal,0.1441,24.0,110.0,1.0,0.0
22.0,compromised,0.728,190.67,282.33,1.02,0.02
23.0,normal,0.09,55.0,105.0,1.0,0.0
23.0,compromised,0.2244,159.33,217.67,1.0,0.0
24.0,normal,0.1487,95.0,0.0,1.0,0.0
24.0,compromised,0.1254,77.0,0.0,1.0,0.0
25.0,normal,0.1081,34.0,108.0,1.0,0.0
25.0,compromised,0.1885,45.0,119.0,1.0,0.0
26.0,normal,0.1482,37.0,133.0,1.0,0.0
26.0,compromised,0.2588,35.0,142.0,1.0,0.0
27.0,normal,0.1996,88.0,116.0,1.0,0.0
27.0,compromised,0.1505,21.5,103.5,1.03,0.03
28.0,normal,0.1581,100.5,138.5,1.0,0.0
28.0,compromised,0.2402,156.67,204.67,1.02,0.02
29.0,normal,0.2073,15.0,151.0,1.0,0.0
