experiment,label,SPI,PFSI,TFSI,PPR,PPD
1.0,normal,0.0774,39.0,0.0,1.0,0.0
1.0,compromised,0.6605,72.0,91.0,1.0,0.0
2.0,normal,0.1383,20.0,32.0,1.0,0.0
2.0,compromised,0.1323,19.0,30.0,0.99,0.0
3.0,normal,0.148,40.0,40.0,1.0,0.0
3.0,compromised,0.7226,79.33,79.33,0.97,0.0
4.0,normal,0.2052,21.0,49.0,1.0,0.0
4.0,compromised,0.1635,23.0,24.0,1.0,0.0
5.0,normal,0.0715,11.0,33.0,1.0,0.0
5.0,compromised,0.081,5.0,47.0,0.99,0.0
6.0,normal,0.1116,12.5,43.5,1.0,0.0
6.0,compromised,0.5373,73.67,72.33,1.06,0.06
7.0,normal,0.2793,1.0,33.0,1.0,0.0
7.0,compromised,0.2414,47.33,47.33,1.0,0.0
8.0,normal,0.1138,47.0,52.0,1.0,0.0
8.0,compromised,0.3502,39.5,39.5,0.0,0.0
9.0,normal,0.1426,21.0,21.0,1.0,0.0
9.0,compromised,0.1603,13.0,11.0,1.0,0.0
10.0,normal,0.0523,0.0,0.0,0.0,0.0
10.0,compromised,0.085,0.0,0.0,0.97,0.0
11.0,normal,0.1041,8.0,31.0,1.0,0.0
11.0,compromised,0.5613,86.33,101.67,0.99,0.0
12.0,normal,0.0693,24.0,37.0,1.0,0.0
12.0,compromised,0.5061,72.33,84.67,1.0,0.0
13.0,normal,0.1384,12.5,39.5,1.0,0.0
13.0,compromised,0.2162,74.33,76.67,1.04,0.04
14.0,normal,0.0827,19.0,45.0,1.0,0.0
14.0,compromised,0.3688,45.33,57.67,1.0,0.0
15.0,normal,0.067,27.0,38.0,1.0,0.0
15.0,compromised,0.6325,47.67,66.33,0.98,0.0
16.0,normal,0.196,30.0,30.0,1.0,0.0
16.0,compromised,0.1773,33.33,33.33,1.02,0.02
17.0,normal,0.1216,13.0,38.0,1.0,0.0
17.0,compromised,0.2391,62.0,76.0,1.04,0.04
18.0,normal,0.3358,17.0,30.0,1.0,0.0
18.0,compromised,0.364,46.0,46.0,0.0,0.0
19.0,normal,0.1338,32.0,32.0,1.0,0.0
19.0,compromised,0.3191,19.5,63.5,1.07,0.07
20.0,normal,0.3422,0.0,0.0,0.0,0.0
20.0,compromised,0.2571,96.0,96.0,1.03,0.03
21.0,normal,0.1264,3.0,34.0,1.0,0.0
21.0,compromised,0.4279,86.67,122.33,1.01,0.01
22.0,normal,0.1628,45.5,69.5,1.0,0.0
22.0,compromised,0.7042,101.0,125.0,1.11,0.11
23.0,normal,0.176,0.0,0.0,1.0,0.0
23.0,compromised,0.2762,69.0,71.0,1.05,0.05
24.0,normal,0.0901,19.0,45.0,1.0,0.0
24.0,compromised,0.1478,54.0,73.0,1.09,0.09
25.0,normal,0.1203,26.0,52.0,1.0,0.0
25.0,compromised,0.1278,87.33,108.67,1.04,0.04
26.0,normal,0.1382,28.0,28.0,1.0,0.0
26.0,compromised,0.2008,19.5,40.5,1.05,0.05
27.0,normal,0.1827,37.0,59.0,1.0,0.0
27.0,compromised,0.0978,40.5,53.5,1.04,0.04
28.0,normal,0.1807,17.0,28.0,1.0,0.0
28.0,compromised,0.5147,56.67,61.67,0.99,0.0
29.0,normal,0.1257,26.0,27.0,1.0,0.0
29.0,compromised,0.2003,2.0,16.0,1.02,0.02
