experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
1.0,normal,0.1362,3.0,0.0,0.0,0.0
1.0,compromised,0.5715,10.67,9.67,0.0,0.0
2.0,normal,0.1434,8.0,4.5,0.0,0.0
2.0,compromised,0.355,8.0,8.0,0.06,0.0
3.0,normal,0.2361,8.0,8.0,0.0,0.0
3.0,compromised,0.9334,10.5,10.5,0.12,0.0
4.0,normal,0.1765,5.5,13.5,0.0,0.0
4.0,compromised,0.5112,5.0,4.0,0.0,0.0
5.0,normal,0.1655,5.0,9.0,0.0,0.0
5.0,compromised,0.0441,5.5,12.0,0.05,0.0
6.0,normal,0.1168,15.0,12.0,0.0,0.0
6.0,compromised,0.6162000000000001,26.33,23.33,0.4599999999999999,0.45
7.0,normal,0.1569,6.5,10.5,0.0,0.0
7.0,compromised,0.3149,12.67,12.67,0.0,0.0
8.0,normal,0.215,11.0,13.0,0.0,0.0
8.0,compromised,0.7120000000000001,8.5,8.5,0.0,0.0
9.0,normal,0.46,6.0,6.0,0.0,0.0
9.0,compromised,0.1917,7.0,2.0,0.1,0.1
10.0,normal,0.0422,0.0,0.0,0.0,0.0
10.0,compromised,0.1042999999999999,0.0,0.0,0.14,0.0
11.0,normal,0.0772,9.5,8.5,0.0,0.0
11.0,compromised,0.4765999999999999,19.33,17.33,0.0899999999999999,0.0
12.0,normal,0.0754,7.5,3.0,0.0,0.0
12.0,compromised,0.5590999999999999,8.999999999999998,13.340000000000002,0.0,0.0
13.0,normal,0.1131,12.0,11.5,0.0,0.0
13.0,compromised,0.4362,19.5,11.0,0.1499999999999999,0.15
14.0,normal,0.0406,7.5,9.5,0.0,0.0
14.0,compromised,0.3166,14.0,10.0,0.0,0.0
15.0,normal,0.1405,6.0,6.0,0.0,0.0
15.0,compromised,0.8069,14.329999999999998,22.33,0.0699999999999999,0.0
16.0,normal,0.223,10.0,10.0,0.0,0.0
16.0,compromised,0.3234,6.0,6.0,0.2499999999999999,0.17
17.0,normal,0.2097,5.5,7.0,0.0,0.0
17.0,compromised,0.2028,15.5,15.5,0.29,0.29
18.0,normal,0.3333,10.0,13.0,0.0,0.0
18.0,compromised,0.7769,9.0,9.0,0.0,0.0
19.0,normal,0.2448999999999999,7.0,7.0,0.0,0.0
19.0,compromised,0.284,7.0,18.0,0.3600000000000001,0.3
20.0,normal,0.4009,0.0,0.0,0.0,0.0
