experiment,label,SPI,PFSI,TFSI,PPR,PPD
1.0,normal,0.0984,15.0,257.0,1.0,0.0
1.0,compromised,0.1718,103.0,208.0,1.0,0.0
2.0,normal,0.1478,58.0,293.0,1.0,0.0
2.0,compromised,0.142,143.0,345.0,1.0,0.0
3.0,normal,0.1664,281.5,419.5,1.0,0.0
3.0,compromised,0.1468,114.0,311.0,1.0,0.0
4.0,normal,0.244,50.0,205.0,1.0,0.0
4.0,compromised,0.2392,123.5,322.5,1.0,0.0
5.0,normal,0.1206,200.0,269.0,1.0,0.0
5.0,compromised,0.3056,64.5,204.5,1.02,0.02
6.0,normal,0.1321,39.0,296.0,1.0,0.0
6.0,compromised,0.4218,36.5,369.5,1.01,0.01
7.0,normal,0.1384,239.5,413.5,1.0,0.0
7.0,compromised,0.1947,441.33,574.33,1.0,0.0
8.0,normal,0.1475,159.0,224.0,1.0,0.0
8.0,compromised,0.2945,49.0,225.0,1.01,0.01
9.0,normal,0.1678,125.5,299.5,1.0,0.0
9.0,compromised,0.2878,252.33,364.67,1.0,0.0
10.0,normal,0.2035,99.0,219.0,1.0,0.0
10.0,compromised,0.2956,48.0,231.0,0.99,0.0
11.0,normal,0.135,57.0,260.0,1.0,0.0
11.0,compromised,0.9607,273.0,362.0,1.0,0.0
12.0,normal,0.1759,85.0,247.0,1.0,0.0
12.0,compromised,0.4516,218.0,251.0,1.03,0.03
13.0,normal,0.1516,93.0,252.0,1.0,0.0
13.0,compromised,0.4228,177.0,243.0,1.01,0.01
14.0,normal,0.1773,50.0,262.0,1.0,0.0
14.0,compromised,0.7994,430.67,593.33,1.0,0.0
15.0,normal,0.1281,68.5,285.5,1.0,0.0
15.0,compromised,0.8662,480.33,564.33,1.05,0.05
16.0,normal,0.1765,213.0,419.0,1.0,0.0
16.0,compromised,0.3226,265.67,402.33,1.0,0.0
17.0,normal,0.173,23.0,232.0,1.0,0.0
17.0,compromised,0.3675,343.0,472.0,0.99,0.0
18.0,normal,0.1758,18.0,238.0,1.0,0.0
18.0,compromised,0.2173,129.0,298.0,0.99,0.0
19.0,normal,0.1235,80.0,196.0,1.0,0.0
19.0,compromised,0.3482,201.33,310.67,0.97,0.0
20.0,normal,0.1978,67.0,302.0,1.0,0.0
20.0,compromised,0.162,71.5,247.5,1.0,0.0
21.0,normal,0.2519,36.0,178.0,1.0,0.0
21.0,compromised,0.8292,236.0,357.0,1.0,0.0
22.0,normal,0.108,0.0,336.0,1.0,0.0
22.0,compromised,0.3351,284.67,424.33,1.0,0.0
23.0,normal,0.2167,175.0,256.0,1.0,0.0
23.0,compromised,0.4292,286.33,442.67,1.01,0.01
24.0,normal,0.1223,230.5,329.5,1.0,0.0
24.0,compromised,0.2911,406.67,543.33,1.0,0.0
25.0,normal,0.1447,204.0,360.0,1.0,0.0
25.0,compromised,0.232,5.5,234.5,1.01,0.01
26.0,normal,0.1022,4.0,227.0,1.0,0.0
26.0,compromised,0.3169,14.5,278.5,1.0,0.0
27.0,normal,0.1825,77.0,231.0,1.0,0.0
